ticker,registryclosedate,value,currencyid
AFKS,2014-07-17,2.06,RUB
AFKS,2015-07-16,0.47,RUB
AFKS,2016-07-14,0.67,RUB
AFKS,2016-10-07,0.38,RUB
AFKS,2017-07-13,0.81,RUB
AFKS,2017-12-08,0.68,RUB
AFKS,2018-07-19,0.11,RUB
AFKS,2019-07-18,0.11,RUB
AFKS,2020-07-16,0.13,RUB
AFKS,2021-07-15,0.31,RUB
AFKS,2023-07-19,0.41,RUB
AFKS,2024-07-17,0.52,RUB
AFLT,2014-07-08,2.5,RUB
AFLT,2017-07-14,17.48,RUB
AFLT,2018-07-06,12.8053,RUB
AFLT,2019-07-05,2.6877,RUB
AFLT,2025-07-18,5.27,RUB
ALRS,2014-07-18,1.47,RUB
ALRS,2015-07-15,1.47,RUB
ALRS,2016-07-19,2.09,RUB
ALRS,2017-07-20,8.93,RUB
ALRS,2018-07-14,5.24,RUB
ALRS,2018-10-15,5.93,RUB
ALRS,2019-07-15,4.11,RUB
ALRS,2019-10-14,3.84,RUB
ALRS,2020-07-13,2.63,RUB
ALRS,2021-07-04,9.54,RUB
ALRS,2021-10-19,8.79,RUB
ALRS,2023-10-18,3.77,RUB
ALRS,2024-05-31,2.02,RUB
ALRS,2024-10-19,2.49,RUB
BANE,2013-11-05,199.0,RUB
BANE,2014-06-23,211.0,RUB
BANE,2015-07-17,113.0,RUB
BANE,2016-07-15,164.0,RUB
BANE,2017-12-12,148.31,RUB
BANE,2018-07-09,158.95,RUB
BANE,2019-06-24,158.95,RUB
BANE,2020-07-06,107.81,RUB
BANE,2022-07-11,117.29,RUB
BANE,2023-07-07,199.89,RUB
BANE,2024-07-12,249.69,RUB
BANE,2025-07-14,147.31,RUB
BSPB,2019-06-10,3.71,RUB
BSPB,2020-12-11,3.33,RUB
BSPB,2021-06-07,4.56,RUB
BSPB,2022-08-29,11.81,RUB
BSPB,2023-05-10,21.16,RUB
BSPB,2023-10-09,19.08,RUB
BSPB,2024-05-06,23.37,RUB
BSPB,2024-09-30,27.26,RUB
BSPB,2025-05-05,29.72,RUB
CBOM,2019-06-07,0.11,RUB
CHMF,2013-08-12,2.03,RUB
CHMF,2013-10-31,2.01,RUB
CHMF,2014-06-23,2.43,RUB
CHMF,2014-09-22,2.14,RUB
CHMF,2014-11-25,54.46,RUB
CHMF,2015-06-05,12.81,RUB
CHMF,2015-09-28,12.63,RUB
CHMF,2015-12-21,13.17,RUB
CHMF,2016-07-05,8.25,RUB
CHMF,2016-09-02,19.66,RUB
CHMF,2016-09-16,19.66,RUB
CHMF,2016-12-13,24.96,RUB
CHMF,2017-06-20,24.44,RUB
CHMF,2017-09-26,22.28,RUB
CHMF,2017-12-05,35.61,RUB
CHMF,2018-06-19,38.32,RUB
CHMF,2018-09-25,45.94,RUB
CHMF,2018-12-04,44.39,RUB
CHMF,2019-05-07,32.08,RUB
CHMF,2019-06-18,35.43,RUB
CHMF,2019-09-17,26.72,RUB
CHMF,2019-12-03,27.47,RUB
CHMF,2020-06-16,26.26,RUB
CHMF,2020-09-08,15.44,RUB
CHMF,2020-12-08,37.34,RUB
CHMF,2021-06-01,36.27,RUB
CHMF,2021-09-02,84.45,RUB
CHMF,2021-12-14,85.93,RUB
CHMF,2022-05-31,109.81,RUB
CHMF,2024-06-18,191.51,RUB
CHMF,2024-09-10,31.06,RUB
CHMF,2024-12-17,49.06,RUB
FEES,2014-07-16,0.0,RUB
FEES,2015-07-16,0.0,RUB
FEES,2016-07-11,0.01,RUB
FEES,2017-07-19,0.0,RUB
FEES,2018-07-18,0.014815395834,RUB
FEES,2019-07-16,0.016042926012,RUB
FEES,2020-01-13,0.00880960765,RUB
FEES,2020-05-29,0.009494338212,RUB
FEES,2021-07-16,0.016132865449,RUB
FLOT,2018-07-09,0.86235949,RUB
FLOT,2019-07-06,0.7295454494492317,RUB
FLOT,2020-08-14,3.651299225669822,RUB
FLOT,2021-07-05,6.67,RUB
FLOT,2023-07-05,4.29,RUB
FLOT,2024-01-07,6.32,RUB
FLOT,2024-07-20,11.27,RUB
GAZP,2014-07-17,7.2,RUB
GAZP,2015-07-16,7.2,RUB
GAZP,2016-07-20,7.89,RUB
GAZP,2017-07-20,8.04,RUB
GAZP,2018-07-19,8.04,RUB
GAZP,2019-07-18,16.61,RUB
GAZP,2020-07-16,15.24,RUB
GAZP,2021-07-15,12.55,RUB
GAZP,2022-07-20,52.53,RUB
GAZP,2022-10-11,51.03,RUB
GMKN,2013-11-01,220.7,RUB
GMKN,2014-06-17,248.48,RUB
GMKN,2014-12-22,762.34,RUB
GMKN,2015-05-25,670.04,RUB
GMKN,2015-09-25,305.07,RUB
GMKN,2015-12-30,321.95,RUB
GMKN,2016-06-21,230.14,RUB
GMKN,2016-12-28,444.25,RUB
GMKN,2017-06-23,446.1,RUB
GMKN,2017-10-19,224.2,RUB
GMKN,2018-07-17,607.98,RUB
GMKN,2018-10-01,776.02,RUB
GMKN,2019-06-21,792.52,RUB
GMKN,2019-10-07,883.93,RUB
GMKN,2019-12-27,604.09,RUB
GMKN,2020-05-25,557.2,RUB
GMKN,2020-12-24,623.35,RUB
GMKN,2021-06-01,1021.22,RUB
GMKN,2022-01-14,1523.17,RUB
GMKN,2022-06-14,1166.22,RUB
GMKN,2023-12-26,915.33,RUB
HEAD,2024-12-17,907.0,RUB
IRAO,2015-06-09,0.0,RUB
IRAO,2016-06-21,0.02,RUB
IRAO,2017-06-20,0.15,RUB
IRAO,2018-06-01,0.13,RUB
IRAO,2019-05-31,0.171635536398468,RUB
IRAO,2020-06-01,0.196192528735633,RUB
IRAO,2021-06-07,0.180711206896552,RUB
IRAO,2022-06-10,0.23658380041773,RUB
IRAO,2023-05-30,0.28365531801897,RUB
IRAO,2024-06-03,0.325999263608046,RUB
IRAO,2025-06-09,0.353756516888506,RUB
LKOH,2013-08-15,50.0,RUB
LKOH,2014-07-15,60.0,RUB
LKOH,2014-12-26,60.0,RUB
LKOH,2015-04-28,94.0,RUB
LKOH,2015-07-14,94.0,RUB
LKOH,2015-07-17,94.0,RUB
LKOH,2015-12-24,65.0,RUB
LKOH,2016-07-12,112.0,RUB
LKOH,2016-12-23,75.0,RUB
LKOH,2017-07-10,120.0,RUB
LKOH,2017-12-22,85.0,RUB
LKOH,2018-07-11,130.0,RUB
LKOH,2018-12-21,95.0,RUB
LKOH,2019-07-09,155.0,RUB
LKOH,2019-12-20,192.0,RUB
LKOH,2020-07-10,350.0,RUB
LKOH,2020-12-18,46.0,RUB
LKOH,2021-07-05,213.0,RUB
LKOH,2021-12-21,340.0,RUB
LKOH,2022-12-21,537.0,RUB
LKOH,2023-06-05,438.0,RUB
LKOH,2023-12-17,447.0,RUB
LKOH,2024-05-07,498.0,RUB
LKOH,2024-12-17,514.0,RUB
LKOH,2025-06-03,541.0,RUB
MAGN,2014-12-23,0.58,RUB
MAGN,2015-10-09,0.58,RUB
MAGN,2016-06-07,0.31,RUB
MAGN,2016-10-11,0.72,RUB
MAGN,2017-06-06,1.24,RUB
MAGN,2017-10-10,0.87,RUB
MAGN,2017-12-19,1.11,RUB
MAGN,2018-06-13,0.81,RUB
MAGN,2018-06-25,0.8,RUB
MAGN,2018-10-09,1.589,RUB
MAGN,2018-12-18,2.114,RUB
MAGN,2019-06-11,1.398,RUB
MAGN,2019-06-20,1.488,RUB
MAGN,2019-10-15,0.69,RUB
MAGN,2020-01-15,1.65,RUB
MAGN,2020-06-17,1.507,RUB
MAGN,2020-09-23,0.607,RUB
MAGN,2021-01-14,2.391,RUB
MAGN,2021-06-17,0.945,RUB
MAGN,2021-09-27,3.53,RUB
MAGN,2022-01-13,2.663,RUB
MAGN,2024-06-10,2.752,RUB
MAGN,2024-10-17,2.494,RUB
MDMG,2024-06-20,141.0,RUB
MDMG,2024-09-09,22.0,RUB
MDMG,2024-11-29,20.0,RUB
MDMG,2025-05-19,22.0,RUB
MGNT,2013-08-09,46.06,RUB
MGNT,2014-06-13,89.15,RUB
MGNT,2014-10-10,78.3,RUB
MGNT,2014-10-29,152.07,RUB
MGNT,2014-12-30,152.07,RUB
MGNT,2015-06-19,132.57,RUB
MGNT,2015-10-09,88.4,RUB
